sample_id,image_path,split,strip_id,batch_id,h2s_concentration_ppm,exposure_duration_min,cumulative_dose_ppm_hr,risk_band,label_source,source_citation,mapping_method,is_lab_validated,temperature_c,humidity_pct,lighting_type,distance_cm,device_model,flash_used,baseline_image_path,reference_patch_present,reference_patch_rgb_measured,reference_patch_rgb_known,corrected_strip_rgb,reference_patch_delta_e,lighting_uniformity_ok,quality_ok,protocol_version,notes
H2S-2026-0027,images/test/H2S-2026-0027_10ppm_daylight.png,test,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.0,58.8,daylight,15.0,Samsung_A54,False,baselines/baseline_daylight.png,True,"[(252, 255, 254), (191, 191, 172), (213, 168, 97), (45, 38, 25)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(238, 217, 178)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0028,images/test/H2S-2026-0028_10ppm_LED.png,test,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.4,41.8,LED,10.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(244, 247, 255), (159, 158, 170), (179, 140, 96), (39, 34, 30)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(199, 191, 174)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0029,images/train/H2S-2026-0029_10ppm_LED.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.1,57.6,LED,20.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(244, 242, 253), (154, 159, 169), (174, 139, 94), (41, 32, 28)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(198, 195, 175)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0030,images/train/H2S-2026-0030_10ppm_LED.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.7,52.0,LED,15.0,Samsung_A54,False,baselines/baseline_LED.png,True,"[(236, 247, 255), (152, 161, 167), (178, 142, 101), (43, 29, 30)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(204, 192, 174)",0.0,False,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0031,images/holdout/H2S-2026-0031_10ppm_fluorescent.png,holdout,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.3,43.4,fluorescent,10.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(204, 229, 240), (130, 155, 149), (151, 128, 86), (35, 26, 27)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(201, 196, 170)",1.41,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0032,images/holdout/H2S-2026-0032_10ppm_fluorescent.png,holdout,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,24.7,40.0,fluorescent,20.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(204, 231, 239), (132, 148, 156), (145, 136, 85), (34, 27, 21)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(201, 194, 172)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0033,images/holdout/H2S-2026-0033_10ppm_fluorescent.png,holdout,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.9,58.2,fluorescent,15.0,Samsung_A54,False,baselines/baseline_fluorescent.png,True,"[(198, 229, 236), (130, 154, 150), (148, 135, 89), (34, 26, 21)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(207, 196, 175)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0034,images/train/H2S-2026-0034_10ppm_dim_indoor.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.1,45.5,dim_indoor,10.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(177, 153, 131), (111, 97, 82), (128, 83, 45), (29, 22, 15)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(200, 189, 173)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0035,images/train/H2S-2026-0035_10ppm_dim_indoor.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.2,58.4,dim_indoor,20.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(177, 152, 135), (112, 100, 83), (132, 86, 53), (31, 21, 15)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(200, 190, 168)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0036,images/train/H2S-2026-0036_10ppm_dim_indoor.png,train,STRIP-BATCHA-10ppm,BATCH-SYNTH-001,10.0,15.0,2.5,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.5,41.9,dim_indoor,15.0,Samsung_A54,False,baselines/baseline_dim_indoor.png,True,"[(178, 150, 135), (116, 99, 81), (131, 87, 47), (31, 17, 14)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(198, 194, 168)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0037,images/train/H2S-2026-0037_15ppm_daylight.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.3,44.2,daylight,10.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(254, 252, 254), (195, 190, 173), (216, 167, 101), (51, 31, 24)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(218, 205, 165)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0038,images/train/H2S-2026-0038_15ppm_daylight.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.5,39.8,daylight,20.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 255, 255), (194, 188, 172), (217, 164, 98), (47, 32, 26)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(218, 202, 163)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0039,images/validation/H2S-2026-0039_15ppm_daylight.png,validation,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.5,58.6,daylight,15.0,Samsung_A54,False,baselines/baseline_daylight.png,True,"[(255, 255, 255), (190, 186, 169), (216, 165, 96), (48, 31, 31)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(218, 202, 162)",0.0,False,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0040,images/train/H2S-2026-0040_15ppm_LED.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.9,52.2,LED,10.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(243, 242, 251), (156, 163, 170), (179, 141, 95), (35, 30, 30)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(187, 182, 163)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0041,images/train/H2S-2026-0041_15ppm_LED.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.1,50.2,LED,20.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(240, 242, 254), (153, 164, 169), (175, 144, 99), (42, 33, 27)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(188, 181, 162)",1.41,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0042,images/validation/H2S-2026-0042_15ppm_LED.png,validation,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.2,52.7,LED,15.0,Samsung_A54,False,baselines/baseline_LED.png,True,"[(239, 244, 255), (153, 158, 166), (174, 144, 94), (37, 26, 29)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(190, 181, 161)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0043,images/holdout/H2S-2026-0043_15ppm_fluorescent.png,holdout,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.7,49.2,fluorescent,10.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(205, 228, 236), (132, 150, 155), (146, 136, 88), (31, 28, 22)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(187, 182, 161)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0044,images/holdout/H2S-2026-0044_15ppm_fluorescent.png,holdout,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.0,35.6,fluorescent,20.0,Pixel_7,False,baselines/baseline_fluorescent.png,True,"[(202, 234, 234), (135, 151, 155), (149, 136, 93), (36, 31, 21)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(188, 177, 163)",1.41,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0045,images/holdout/H2S-2026-0045_15ppm_fluorescent.png,holdout,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.6,37.6,fluorescent,15.0,Samsung_A54,False,baselines/baseline_fluorescent.png,True,"[(201, 227, 237), (128, 149, 156), (153, 135, 89), (31, 30, 27)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(190, 182, 159)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0046,images/train/H2S-2026-0046_15ppm_dim_indoor.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,24.9,51.4,dim_indoor,10.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(177, 154, 132), (116, 102, 81), (131, 83, 50), (28, 19, 10)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(187, 176, 162)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0047,images/train/H2S-2026-0047_15ppm_dim_indoor.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,20.6,59.3,dim_indoor,20.0,Pixel_7,False,baselines/baseline_dim_indoor.png,True,"[(177, 147, 131), (118, 99, 88), (131, 82, 48), (28, 22, 11)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(187, 183, 162)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0048,images/train/H2S-2026-0048_15ppm_dim_indoor.png,train,STRIP-BATCHA-15ppm,BATCH-SYNTH-001,15.0,15.0,3.75,caution,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.5,52.6,dim_indoor,15.0,Samsung_A54,False,baselines/baseline_dim_indoor.png,True,"[(174, 149, 132), (118, 94, 89), (130, 83, 48), (25, 21, 10)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(191, 181, 162)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0049,images/train/H2S-2026-0049_20ppm_daylight.png,train,STRIP-BATCHA-20ppm,BATCH-SYNTH-001,20.0,15.0,5.0,alert,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,23.9,41.7,daylight,10.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 255, 254), (196, 191, 167), (219, 163, 102), (46, 32, 27)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(202, 189, 153)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0050,images/train/H2S-2026-0050_20ppm_daylight.png,train,STRIP-BATCHA-20ppm,BATCH-SYNTH-001,20.0,15.0,5.0,alert,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,21.2,44.6,daylight,20.0,Pixel_7,False,baselines/baseline_daylight.png,True,"[(255, 255, 253), (196, 191, 172), (218, 165, 102), (52, 37, 30)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(201, 187, 153)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0051,images/test/H2S-2026-0051_20ppm_daylight.png,test,STRIP-BATCHA-20ppm,BATCH-SYNTH-001,20.0,15.0,5.0,alert,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.6,46.4,daylight,15.0,Samsung_A54,False,baselines/baseline_daylight.png,True,"[(255, 251, 255), (196, 189, 171), (215, 167, 94), (46, 39, 28)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(202, 190, 152)",0.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
H2S-2026-0052,images/validation/H2S-2026-0052_20ppm_LED.png,validation,STRIP-BATCHA-20ppm,BATCH-SYNTH-001,20.0,15.0,5.0,alert,literature_derived_proxy,Sanderson et al. (1966) J. Air Pollut. Control Assoc. – optical density vs CT; Hochheiser & Santner (1954) – lead-acetate paper calibration; classic PbS staining kinetics (white → brown → black with cumulative dose),"Discrete 9-stage lookup derived by linear interpolation of reported optical-density / reflectance values versus concentration×time product. Stages deliberately placed at 0, 5, 10, 15, 20, 30, 50, 75, 100 ppm to straddle NIOSH/OSHA decision boundaries. Duration fixed at 15 min for all synthetic exposures → dose_ppm_hr = ppm × 0.25.",False,22.7,50.4,LED,10.0,Pixel_7,False,baselines/baseline_LED.png,True,"[(242, 243, 252), (159, 160, 168), (178, 137, 98), (43, 32, 28)]","[(245, 245, 240), (160, 160, 155), (180, 140, 90), (40, 30, 25)]","(172, 168, 153)",1.0,True,True,SENTINEL-synthetic-v3-2026-09-15,synthetic Tier-B sample generated for pipeline testing
